level_0,index,year,month,value,data_mean_nh,data_mean_sh
58,58,1854,11,284.47376132930697,284.19807268273,284.749449975883
59,59,1854,12,285.114201334789,285.441931080318,284.78647158926003
60,60,1855,1,285.57840488204,286.268820677508,284.887989086572
61,61,1855,2,285.966540052717,286.92990698498403,285.00317312044996
62,62,1855,3,286.31426703643103,287.578767046234,285.049767026629
63,63,1855,4,286.56104968567297,288.12128810500303,285.000811266343
64,64,1855,5,286.51356701117,288.037872455528,284.989261566812
65,65,1855,6,285.79128904863,286.53998009682596,285.04259800043303
66,66,1855,7,284.158095446921,283.268312586184,285.047878307658
67,67,1855,8,282.557566370117,280.207635895682,284.907496844553
68,68,1855,9,282.52024864908697,280.305281905625,284.735215392548
69,69,1855,10,283.558718333307,282.41283918565,284.704597480964
70,70,1855,11,284.565616266236,284.290832861993,284.840399670478
71,71,1855,12,285.20663476548697,285.53539756389,284.877871967084
72,72,1856,1,285.67179311222696,286.363341641222,284.980244583233
73,73,1856,2,286.061178714628,287.025742202348,285.096615226908
74,74,1856,3,286.410530037697,287.676263981167,285.144796094226
75,75,1856,4,286.659344067784,288.22080995101504,285.09787818455203
76,76,1856,5,286.61425703625497,288.139695590399,285.08881848211104
77,77,1856,6,285.894788102253,286.64444139187196,285.145134812634
78,78,1856,7,284.265027312646,283.376105075518,285.15394954977296
79,79,1856,8,282.668577522689,280.31955844418303,285.017596601196
80,80,1856,9,282.635726700548,280.421739660551,284.849713740545
81,81,1856,10,283.678996156165,282.534186901552,284.823805410777
82,82,1856,11,284.690867229516,284.417257728651,284.964476730381
83,83,1856,12,285.336911398611,285.666894241794,285.00692855542803
84,84,1857,1,285.80718375293,286.50002905087797,285.114338454982
85,85,1857,2,286.201409102248,287.167245193131,285.235573011364
86,86,1857,3,286.555370643819,287.822315073038,285.2884262146
87,87,1857,4,286.80849045988,288.37104178147,285.245939138291
88,88,1857,5,286.767220928145,288.293493742931,285.24094811335897
89,89,1857,6,286.051029251646,286.80115581207,285.300902691223
90,90,1857,7,284.424184979168,283.535545457734,285.312824500602
91,91,1857,8,282.8302422032,280.481605040702,285.17887936569804
92,92,1857,9,282.799259569157,280.585778811767,285.01274032654703
93,93,1857,10,283.843898911574,282.699751710955,284.988046112193
94,94,1857,11,284.856631848095,284.583860007952,285.12940368823797
95,95,1857,12,285.50307562422,285.833988682215,285.17216256622504
96,96,1858,1,285.973428533867,286.667228937681,285.279628130054
97,97,1858,2,286.367387972085,287.33416647229,285.400609471881
98,98,1858,3,286.720890208468,287.988723950344,285.453056466592
99,99,1858,4,286.97346051501097,288.536781062619,285.410139967403
100,100,1858,5,286.931538480641,288.458326167039,285.404750794243
101,101,1858,6,286.214718926672,286.96498910752604,285.464448745819
102,102,1858,7,284.587645410516,283.698997900603,285.476292920429
103,103,1858,8,282.993973834516,280.64552373571604,285.342423933315
104,104,1858,9,282.963487893952,280.750416042354,285.17655974555
105,105,1858,10,284.008894810922,282.865411789092,285.152377832752
106,106,1858,11,285.022551404762,284.750720131446,285.294382678077
107,107,1858,12,285.670019192476,286.002060794464,285.33797759048804
108,108,1859,1,286.14154524939096,286.83659083491904,285.446499663863
109,109,1859,2,286.53669164753103,287.504791292459,285.568592002603
110,110,1859,3,286.89145396059297,288.160641716744,285.622266204442
111,111,1859,4,287.145362911525,288.709998886988,285.58072693606204
112,112,1859,5,287.10473982977004,288.632661138657,285.57681852088297
113,113,1859,6,286.389211044685,287.14030835277197,285.638113736599
114,114,1859,7,284.76371443857397,283.875780870599,285.65164800655
115,115,1859,8,283.171919897762,280.824399352291,285.519440443234
116,116,1859,9,283.14329723347197,280.9313991225,285.355195344443
117,117,1859,10,284.190614723639,283.04858528936404,285.332644157913
118,118,1859,11,285.206119533092,284.93604421697,285.476194849214
119,119,1859,12,285.855326532121,286.18933215601203,285.521320908229
120,120,1860,1,286.328561520526,287.025715264939,285.63140777611403
121,121,1860,2,286.725225159994,287.69552202087397,285.754928299114
122,122,1860,3,287.081403293532,288.352829821961,285.809976765103
123,123,1860,4,287.336646182979,288.903483723081,285.769808642877
124,124,1860,5,287.297158334022,288.827086133575,285.767230534469
125,125,1860,6,286.582614336925,287.335385619445,285.829843054405
126,126,1860,7,284.958290031711,284.071829223796,285.844750839626
127,127,1860,8,283.367882839573,281.02191448497103,285.713851194175
128,128,1860,9,283.340511131318,281.13027614046797,285.550746122168
129,129,1860,10,284.388992043185,283.24877596492,285.52920812145
130,130,1860,11,285.405433053931,285.13734615587504,285.673519951987
131,131,1860,12,286.055278799547,286.391343953814,285.71921364528
132,132,1861,1,286.52887904911,287.228054446353,285.82970365186696
133,133,1861,2,286.925532277788,287.897789223826,285.953275331749
134,134,1861,3,287.28136000827004,288.55463755344,286.00808246309896
135,135,1861,4,287.53591228604597,289.10441301050497,285.96741156158697
136,136,1861,5,287.495257037809,289.026502322994,285.964011752623
137,137,1861,6,286.779097359488,287.53270298664904,286.02549173232603
138,138,1861,7,285.153027292534,284.267138576381,286.03891600868695
139,139,1861,8,283.560754611264,281.21546632698,285.90604289554796
140,140,1861,9,283.53109362715696,281.321678183627,285.740509070688
141,141,1861,10,284.577025618111,283.43780787080397,285.716243365417
142,142,1861,11,285.59063691597,285.32375195867996,285.85752187325903
143,143,1861,12,286.23742046159,286.574787216681,285.90005370649897
144,144,1862,1,286.707808670214,287.408223913933,286.00739342649604
145,145,1862,2,287.101245033834,288.07470676367,286.127783303997
146,146,1862,3,287.453944050266,288.728350426743,286.179537673789
147,147,1862,4,287.705570091571,289.275055892869,286.136084290273
148,148,1862,5,287.66218802666697,289.194138738971,286.130237314363
149,149,1862,6,286.94364000267797,287.697553093533,286.189726911823
150,150,1862,7,285.315908488923,284.430170017901,286.201646959944
151,151,1862,8,283.722820741354,281.37789478693503,286.06774669577203
152,152,1862,9,283.69292003243,281.48410611814,285.90173394672
153,153,1862,10,284.73917790064,283.600834718076,285.877521083205
154,154,1862,11,285.753503001269,285.487787015204,286.019218987335
155,155,1862,12,286.40127038442,286.74001103469897,286.062529734142
156,156,1863,1,286.872884535807,287.574792544079,286.170976527536
157,157,1863,2,287.267624490116,288.242669996879,286.29257898335203
158,158,1863,3,287.62168710090197,288.897726397467,286.345647804336
159,159,1863,4,287.874679714693,289.44577815327204,286.303581276114
160,160,1863,5,287.832489978939,289.365893895492,286.29908606238604
161,161,1863,6,287.114928332058,287.87001404657,286.359842617546
162,162,1863,7,285.488200885522,284.603509202074,286.372892568969
163,163,1863,8,283.896086081447,281.55236746069903,286.239804702195
164,164,1863,9,283.866800669245,281.659382398814,286.074218939675
165,165,1863,10,284.913425586246,283.776701004301,286.05015016819
166,166,1863,11,285.92781962841,285.663967082585,286.191672174236
167,167,1863,12,286.575369204313,286.916126508643,286.234611899983
168,168,1864,1,287.043461105101,287.744717493375,286.34220471682596
169,169,1864,2,287.43804648486696,288.412370438369,286.463722531366
170,170,1864,3,287.79224300677504,289.06779263308,286.516693380471
171,171,1864,4,288.04552333796903,289.616864449807,286.474182226131
172,172,1864,5,288.004506884842,289.539888889401,286.469124880284
173,173,1864,6,287.288686908825,288.04835942423404,286.529014393416
174,174,1864,7,285.662111637828,284.783281261199,286.540942014457
175,175,1864,8,284.068371360169,281.729505428575,286.407237291763
176,176,1864,9,284.037815663627,281.834041325861,286.24159000139304
177,177,1864,10,285.083001248303,283.948462091021,286.217540405584
178,178,1864,11,286.096451636901,285.833168264067,286.359735009734
179,179,1864,12,286.74377667321096,287.084147388008,286.403405958415
180,180,1865,1,287.217245276198,287.922455881335,286.512034671062
181,181,1865,2,287.611935446024,288.59028029192103,286.633590600127
182,182,1865,3,287.965893888655,289.245252310763,286.686535466548
183,183,1865,4,288.218722777834,289.793198339298,286.644247216369
184,184,1865,5,288.176370742132,289.71328636495497,286.63945511931
185,185,1865,6,287.458629113214,288.217427795045,286.699830431383
186,186,1865,7,285.831544355377,284.950633009571,286.71245570118197
187,187,1865,8,284.238885515466,281.898808260703,286.57896277022996
188,188,1865,9,284.209034689962,282.00510353295,286.412965846974
189,189,1865,10,285.255045051793,284.121634261786,286.3884558418
190,190,1865,11,286.268842401815,286.008118282473,286.529566521158
191,191,1865,12,286.915846460209,287.259597254936,286.572095665481
192,192,1866,1,287.386082058588,288.092570996832,286.67959312034304
193,193,1866,2,287.77985249735804,288.759428875604,286.800276119113
194,194,1866,3,288.132968963223,289.41352123122,286.852416695227
195,195,1866,4,288.385080402615,289.960727236504,286.809433568726
196,196,1866,5,288.342208381653,289.880302994359,286.80411376894796
197,197,1866,6,287.624185493597,288.38419725477996,286.86417373241403
198,198,1866,7,285.99704387761903,285.117400803257,286.876686951982
199,199,1866,8,284.40459773794,282.065836393782,286.743359082099
200,200,1866,9,284.37532128231703,282.172747631245,286.577894933389
201,201,1866,10,285.422196150092,284.29017691932,286.554215380864
202,202,1866,11,286.437093520896,286.17779025051203,286.69639679128
203,203,1866,12,287.085365167487,287.430586046463,286.74014428851
204,204,1867,1,287.555566913774,288.26238493160497,286.848748895942
205,205,1867,2,287.950912743459,288.930845701717,286.970979785201
206,206,1867,3,288.30571067334097,289.58680886690104,287.024612479781
207,207,1867,4,288.559435943218,290.136086413794,286.982785472642
208,208,1867,5,288.51840102907903,290.058494873751,286.978307184407
209,209,1867,6,287.802166955532,288.565641838957,287.038692072106
210,210,1867,7,286.175507238437,285.300011722056,287.051002754818
211,211,1867,8,284.58203380795396,282.246816158543,286.917251457365
212,212,1867,9,284.551295911725,282.351554770272,286.751037053178
213,213,1867,10,285.596035993629,284.466004161283,286.726067825974
214,214,1867,11,286.608550044732,286.350304473551,286.866795615912
215,215,1867,12,287.25437801821397,287.600081076054,286.908674960374
216,216,1868,1,287.724558661894,288.433945409301,287.015171914487
217,217,1868,2,288.116980955691,289.099448451,287.134513460383
218,218,1868,3,288.46845630351896,289.751927818539,287.184984788499
219,219,1868,4,288.718584177726,290.297236129242,287.139932226209
220,220,1868,5,288.67343663569,290.214737965994,287.132135305387
221,221,1868,6,287.95277574092,288.716296576467,287.189254905374
222,222,1868,7,286.322350731317,285.446361952787,287.198339509847
223,223,1868,8,284.725920190544,282.390691747115,287.061148633973
224,224,1868,9,284.692190059761,282.493004823292,286.891375296229
225,225,1868,10,285.734151011223,284.605346893842,286.862955128604
226,226,1868,11,286.743845381136,286.487565723251,287.00012503902
227,227,1868,12,287.386745227445,287.73487442198103,287.03861603291
228,228,1869,1,287.85285638807005,288.563772315613,287.141940460527
229,229,1869,2,288.24253008930697,289.226590658353,287.25846952026
230,230,1869,3,288.591548057178,289.8766839086,287.306412205756
231,231,1869,4,288.83954786695097,290.419947636642,287.259148097261
232,232,1869,5,288.79266083364496,290.335817954606,287.249503712683
233,233,1869,6,288.070682667874,288.83618858877,287.305176746978
234,234,1869,7,286.439351313338,285.56537080421697,287.313331822459
235,235,1869,8,284.8424621559,282.50913588681703,287.175788424983
236,236,1869,9,284.808806467376,282.611412423657,287.006200511096
237,237,1869,10,285.851323572455,284.724193568362,286.978453576548
238,238,1869,11,286.861996898243,286.60727042275903,287.116723373727
239,239,1869,12,287.50622851822396,287.855806090594,287.156650945854
240,240,1870,1,287.974208201822,288.686719776989,287.261696626655
241,241,1870,2,288.365644985782,289.351226144649,287.38006382691503
242,242,1870,3,288.71650890782297,290.00306800500704,287.429949810639
243,243,1870,4,288.966374622833,290.548063339985,287.38468590568
244,244,1870,5,288.921246547234,290.465484250104,287.377008844365
245,245,1870,6,288.200870946971,288.967184599473,287.434557294469
246,246,1870,7,286.571072238682,285.69781155408,287.444332923284
247,247,1870,8,284.975586821614,282.643147481631,287.30802616159804
248,248,1870,9,284.942981584181,282.746656352486,287.139306815876
249,249,1870,10,285.986249163152,284.860388295779,287.112110030525
250,250,1870,11,286.997390807916,286.74414544171395,287.25063617411803
251,251,1870,12,287.641859823568,287.993081706951,287.29063794018396
252,252,1871,1,288.110436022163,288.825137133082,287.395734911244
253,253,1871,2,288.501801591248,289.489690115419,287.513913067077
254,254,1871,3,288.852533519647,290.14144090253603,287.563626136758
255,255,1871,4,289.102323563704,290.686273959066,287.51837316834303
256,256,1871,5,289.05707245453704,290.603229624412,287.510915284661
257,257,1871,6,288.336690063784,289.10435843730096,287.569021690266
258,258,1871,7,286.70763346457,285.83550886757,287.57975806157003
259,259,1871,8,285.113769732899,282.78283576365396,287.444703702144
260,260,1871,9,285.083193675595,282.888794097369,287.27759325382004
261,261,1871,10,286.129020297896,285.005569008676,287.252471587117
262,262,1871,11,287.14301474977697,286.892703082826,287.393326416729
263,263,1871,12,287.79050520967,288.145016606836,287.435993812504
264,264,1872,1,288.266797376515,288.988906910764,287.54468784226503
265,265,1872,2,288.660727813754,289.656319258478,287.66513636903
266,266,1872,3,289.013522169507,290.309853267664,287.71719107135
267,267,1872,4,289.26516074756,290.855304360721,287.675017134398
268,268,1872,5,289.220185871362,290.769399090052,287.670972652673
269,269,1872,6,288.499142857588,289.265070116451,287.733215598725
270,270,1872,7,286.872623103069,285.996351134797,287.748895071342
271,271,1872,8,285.284883495981,282.951590538306,287.618176453656
272,272,1872,9,285.259948274772,283.065358521567,287.454538027976
273,273,1872,10,286.311838347133,285.190840432458,287.43283626180903
274,274,1872,11,287.330976331451,287.086061433041,287.575891229861
275,275,1872,12,287.982187498681,288.343783578403,287.62059141895804
276,276,1873,1,288.460037760388,289.18839968642504,287.731675834352
277,277,1873,2,288.85542944250705,289.857311807579,287.853547077435
278,278,1873,3,289.208958118399,290.51119677307497,287.906719463723
279,279,1873,4,289.46085507645097,291.055823316016,287.865886836885
280,280,1873,5,289.414702478135,290.96625525490896,287.86314970136004
281,281,1873,6,288.69155172811,289.456112741203,287.92699071501704
282,282,1873,7,287.065073335771,286.185434169109,287.944712502434
283,283,1873,8,285.479849642482,283.14421982347596,287.815479461488
284,284,1873,9,285.45694975761904,283.261333243219,287.652566272018
285,285,1873,10,286.511108079959,285.390742618152,287.631473541766
286,286,1873,11,287.53183092426,287.28942819399896,287.77423365452097
287,287,1873,12,288.183647254549,288.54871195618097,287.818582552917
288,288,1874,1,288.656471916777,289.38374445977996,287.92919937377303
289,289,1874,2,289.05178532424,290.052179168371,288.051391480108
290,290,1874,3,289.405516190632,290.706018615939,288.105013765326
291,291,1874,4,289.65787481547,291.251110211972,288.064639418968
292,292,1874,5,289.612857087175,291.16318367547,288.06253049888
293,293,1874,6,288.891401857497,289.655681494266,288.127122220727
294,294,1874,7,287.266143545397,286.386889285688,288.145397805105
295,295,1874,8,285.681616774426,283.346283519346,288.016950029505
296,296,1874,9,285.660019729305,283.464511020681,287.855528437929
297,297,1874,10,286.71584619528,285.59527447393,287.83641791662996
298,298,1874,11,287.73885681035597,287.495854610918,287.981859009794
299,299,1874,12,288.393603450647,288.758006858945,288.02920004234903
300,300,1875,1,288.870551603777,289.59817364480205,288.142929562752
301,301,1875,2,289.269526709748,290.270659459745,288.268393959751
302,302,1875,3,289.626989900709,290.928680623537,288.325299177881
303,303,1875,4,289.883006453368,291.477979001977,288.288033904759
304,304,1875,5,289.84159943171903,291.394411379899,288.288787483539
305,305,1875,6,289.123526394616,289.891213160775,288.355839628457
306,306,1875,7,287.50087464444,286.625390688254,288.376358600626
307,307,1875,8,285.918023194133,283.586076230983,288.249970157284
308,308,1875,9,285.897481593912,283.704935389472,288.090027798353
309,309,1875,10,286.95359950683104,285.835516865603,288.071682148059
310,310,1875,11,287.97635770778,287.735339813982,288.217375601578
311,311,1875,12,288.63045624372,288.996470450644,288.26444203679597
312,312,1876,1,289.108053378383,289.838507214855,288.377599541911
313,313,1876,2,289.505587510005,290.509402864031,288.50177215598
314,314,1876,3,289.861236149194,291.165336551532,288.557135746856
315,315,1876,4,290.11523538020305,291.71213951417303,288.518331246233
316,316,1876,5,290.071423868071,291.62527808671,288.517569649432
317,317,1876,6,289.35080479622,290.118286499171,288.58332309326903
318,318,1876,7,287.726465709593,286.850172025472,288.602759393714
319,319,1876,8,286.142978268916,283.810648601484,288.475307936348
320,320,1876,9,286.122082255244,283.929662419421,288.314502091066
321,321,1876,10,287.178390180674,286.06104536951,288.295734991838
322,322,1876,11,288.201567933648,287.961964000218,288.441171867077
323,323,1876,12,288.856167791889,289.22400131425303,288.488334269525
324,324,1877,1,289.343186985658,290.083236847398,288.603137123919
325,325,1877,2,289.740044813339,290.753814224631,288.726275402046
326,326,1877,3,290.093989980844,291.407313382893,288.780666578796
327,327,1877,4,290.345876739701,291.949466927985,288.742286551418
328,328,1877,5,290.29703542096803,291.851419213984,288.742651627952
329,329,1877,6,289.569745909228,290.32844945203897,288.811042366418
330,330,1877,7,287.945014553504,287.055338464201,288.83469064280797
331,331,1877,8,286.368223417938,284.026034709974,288.710412125903
332,332,1877,9,286.35345244901004,284.15541912867997,288.55148576934
333,333,1877,10,287.417053043095,286.299241519832,288.534864566358
334,334,1877,11,288.446124458049,288.211769795416,288.680479120683
335,335,1877,12,289.104245310476,289.480660743041,288.72782987791
336,336,1878,1,289.590833060467,290.33787624308496,288.843789877849
337,337,1878,2,289.987545801578,291.008504720296,288.96658688286
338,338,1878,3,290.340257132889,291.66018260363603,289.020331662141
339,339,1878,4,290.590268354985,292.198573794923,288.981962915046
340,340,1878,5,290.537107257586,292.091715145904,288.98249936926703
341,341,1878,6,289.80397460478804,290.55614368556303,289.051805524014
342,342,1878,7,288.17757677090697,287.278142004083,289.07701153773
343,343,1878,8,286.603881187519,284.25470766256,288.953054712478
344,344,1878,9,286.591458633415,284.389733990115,288.793183276716
345,345,1878,10,287.657926697338,286.540365791283,288.775487603394
346,346,1878,11,288.688624226761,288.4588716817,288.918376771821
347,347,1878,12,289.346539223793,289.73019340320803,288.962885044379
348,348,1879,1,289.830938237515,290.585082843341,289.07679363169
349,349,1879,2,290.224756849335,291.253226955675,289.19628674299497
350,350,1879,3,290.573885218287,291.901071084727,289.246699351847
351,351,1879,4,290.820114742045,292.434334475762,289.20589500832904
352,352,1879,5,290.761567016866,292.31854777116,289.204586262572
353,353,1879,6,290.02233231896497,290.77142153393504,289.273243103994
354,354,1879,7,288.39403511340697,287.48894260935003,289.29912761746397
355,355,1879,8,286.823249524233,284.470792053841,289.175706994626
356,356,1879,9,286.814015637593,284.61181886532904,289.016212409856
357,357,1879,10,287.885097773554,286.77042316221,288.99977238489896
358,358,1879,11,288.920241111515,288.697078523296,289.143403699733
359,359,1879,12,289.58175897807996,289.974261227156,289.189256729004
360,360,1880,1,290.065054154911,290.824849296632,289.30525901319
361,361,1880,2,290.461612959388,291.495993111613,289.427232807163
362,362,1880,3,290.81352080709,292.146712522666,289.480329091515
363,363,1880,4,291.062567653065,292.682617586735,289.44251771939497
364,364,1880,5,291.006403690211,292.568494924138,289.444312456283
365,365,1880,6,290.269216739785,291.022223032537,289.516210447033
366,366,1880,7,288.643727224093,287.741813079957,289.545641368228
367,367,1880,8,287.076536720563,284.72748827361403,289.425585167512
368,368,1880,9,287.070439559257,284.87199103031503,289.268888088198
369,369,1880,10,288.144380508424,287.03392882682203,289.25483219002604
370,370,1880,11,289.18174667963103,288.963367268575,289.400126090686
371,371,1880,12,289.84478514596003,290.242272566814,289.447297725107
372,372,1881,1,290.329164629836,291.09377759549704,289.564551664174
373,373,1881,2,290.726180019623,291.76512296633,289.687237072916
374,374,1881,3,291.078223195958,292.415558177804,289.740888214111
375,375,1881,4,291.327260008323,292.950760914335,289.703759102311
376,376,1881,5,291.270644309651,292.834947518637,289.70634110066504
377,377,1881,6,290.53283928220503,291.286342579527,289.779335984883
378,378,1881,7,288.907843946316,288.005627594741,289.810060297891
379,379,1881,8,287.342464809669,284.993747889247,289.69118173008997
380,380,1881,9,287.338421768798,285.141047581904,289.535795955692
381,381,1881,10,288.41499380048697,287.30649539838,289.523492202594
382,382,1881,11,289.45513406052004,289.239672841352,289.670595279688
383,383,1881,12,290.120821661786,290.521832200886,289.71981112268503
384,384,1882,1,290.609097765456,291.378613330627,289.839582200285
385,385,1882,2,291.008050065482,292.052085945002,289.964014185962
386,386,1882,3,291.361513791669,292.703822270015,290.019205313322
387,387,1882,4,291.611515856004,293.23935717373297,289.983674538276
388,388,1882,5,291.554581903532,293.121562935659,289.987600871404
389,389,1882,6,290.815423485736,291.56904570664904,290.061801264823
390,390,1882,7,289.190177204952,288.28684052431197,290.093513885591
391,391,1882,8,287.62576530907,285.276982375942,289.974548242199
392,392,1882,9,287.62161424437,285.425433773937,289.817794714804
393,393,1882,10,288.697392179043,287.591603555436,289.80318080265
394,394,1882,11,289.735381359625,289.524307881469,289.94645483778
395,395,1882,12,290.397477914185,290.803876262697,289.991079565674
396,396,1883,1,290.877706425447,291.64978850221297,290.10562434867995
397,397,1883,2,291.271501493981,292.318117492994,290.224885494967
398,398,1883,3,291.619676171042,292.964660865787,290.274691476296
399,399,1883,4,291.864397870549,293.495148281789,290.233647459309
400,400,1883,5,291.802569544603,293.372966695436,290.23217239377004
401,401,1883,6,291.058993368441,291.816777413223,290.301209323659
402,402,1883,7,289.42939348844,288.530483929847,290.328303047033
403,403,1883,8,287.86081809421603,285.515987827171,290.20564836126204
404,404,1883,9,287.853461119113,285.66070415912003,290.046218079107
405,405,1883,10,288.927039605973,287.824077077904,290.03000213404204
406,406,1883,11,289.96405983643996,289.755171926207,290.172947746674
407,407,1883,12,290.626373619932,291.034497526171,290.218249713694
408,408,1884,1,291.106047807921,291.878057799684,290.334037816158
409,409,1884,2,291.502269318014,292.548524135263,290.456014500764
410,410,1884,3,291.853832898506,293.19844235179403,290.509223445217
411,411,1884,4,292.102617370594,293.733434536932,290.471800204257
412,412,1884,5,292.046026655664,293.617846630052,290.47420668127603
413,413,1884,6,291.308408031052,292.069766781022,290.547049281081
414,414,1884,7,289.683353357369,288.789067176297,290.577639538441
415,415,1884,8,288.117573684478,285.776447535726,290.45869983322996
416,416,1884,9,288.113064869636,285.922910387565,290.303219351707
417,417,1884,10,289.188975462075,288.087286179706,290.290664744445
418,418,1884,11,290.22839458454104,290.019306940207,290.437482228875
419,419,1884,12,290.89342641663,291.30047949501204,290.486373338248
420,420,1885,1,291.376562266687,292.14788624716203,290.605238286213
421,421,1885,2,291.77589695002604,292.821387248257,290.730406651795
422,422,1885,3,292.130598331915,293.47456100074197,290.786635663087
423,423,1885,4,292.382443869343,294.013057387447,290.75183035124
424,424,1885,5,292.32929948157,293.902011145353,290.756587817787
425,425,1885,6,291.59529242096403,292.359206020323,290.831378821606
426,426,1885,7,289.972597686992,289.081705893535,290.863489480449
427,427,1885,8,288.40779032641603,286.069457491908,290.746123160925
428,428,1885,9,288.40425644085303,286.216164068494,290.592348813212
429,429,1885,10,289.48084188353903,288.380321116799,290.58136265027997
430,430,1885,11,290.521102173339,290.312186884912,290.730017461766
431,431,1885,12,291.187308501113,291.593967228679,290.780649773547
432,432,1886,1,291.673474687508,292.445816713687,290.90113266132903
433,433,1886,2,292.074241362393,293.120790718784,291.027692006002
434,434,1886,3,292.43029080986304,293.775357000761,291.085224618965
435,435,1886,4,292.683393728721,294.315160955881,291.05162650156
436,436,1886,5,292.63141918829496,294.205346218862,291.057492157728
437,437,1886,6,291.89848559579104,292.663686206364,291.133284985218
438,438,1886,7,290.276738055287,289.387240998957,291.166235111617
439,439,1886,8,288.712744246133,286.375939104698,291.049549387569
440,440,1886,9,288.709909746369,286.523475734318,290.89634375842
441,441,1886,10,289.787070181457,288.688335586196,290.885804776719
442,442,1886,11,290.827800366441,290.620797256768,291.034803476114
443,443,1886,12,291.49442215917,291.903126625867,291.085717692473
444,444,1887,1,291.977661510786,292.74926853607104,291.2060544855
445,445,1887,2,292.37938908432596,293.425232775271,291.333545393382
446,446,1887,3,292.736921439701,294.081683254771,291.39215962463
447,447,1887,4,292.991857216474,294.624338118016,291.359376314933
448,448,1887,5,292.942961211298,294.519856137499,291.366066285097
449,449,1887,6,292.213954864627,292.985453832588,291.442455896665
450,450,1887,7,290.594317851433,289.71290155715303,291.475734145714
451,451,1887,8,289.030380137882,286.700720674412,291.360039601352
452,452,1887,9,289.028202411523,286.847732345046,291.208672478001
453,453,1887,10,290.106066863387,289.011806691015,291.200327035759
454,454,1887,11,291.148430292452,290.944217681877,291.35264290302797
455,455,1887,12,291.817846781474,292.228471801125,291.407221761824
